classe,Espindola_2.4G,BEATRIZ,NET 2G,#NET-CLARO-WIFI,Oi_93B7,TOPNET 99255-7919 GT SURF,ARTHUR,2G.MIMO.BEBY,GVT-53AA,CONVENIENCIA_TORTUGA,WIFI GLOBAL 227,Redmi Note 9S,Galaxy A20s6468,2313_Oi_Fibra,Araujo,A304_Oi_Fibra 2.4G,ViperNet_Salão ,Figueiredo 2.4,Salvato,CGU-V3208,70mai_Pro Plus+_8eb4,moto g(6) plus 3609,WIFI GLOBAL,NICOLAS,@Casadatapioca,Parangaricutirimirruaro,net-325,VIVO-FCA1,FARMA POPULAR
sala,68,43,29,30,27,33,27,24,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,67,35,30,31,24,32,25,22,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,63,45,33,31,27,32,22,24,0,28,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,64,36,33,32,30,29,22,25,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,66,42,33,32,26,29,26,25,0,26,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,66,31,29,29,26,34,26,25,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,70,37,31,31,26,31,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,59,43,34,33,27,29,24,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,63,47,33,32,27,35,24,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,64,28,36,36,27,33,0,0,0,25,22,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,63,37,36,34,29,31,23,22,0,25,22,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,62,40,36,34,31,26,26,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,66,44,35,33,32,30,26,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,66,40,36,36,32,30,24,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,61,45,28,27,32,28,26,24,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,67,46,36,36,32,28,25,24,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quarto,59,40,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quarto,53,39,50,45,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quarto,51,40,43,43,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quarto,51,38,50,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quarto,51,38,50,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quarto,53,38,42,43,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quarto,52,37,43,43,25,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
